class1	gender1	class2	gender2	num_of_connections
1B	M	3B	M	0
1B	M	3B	M	0
1B	M	3B	F	1
1B	M	3B	F	0
1B	M	3B	F	0
1B	M	4B	F	0
1B	M	4B	M	0
1B	M	4B	M	1
1B	M	1B	M	72
1B	M	1B	M	20
1B	M	4B	F	0
1B	M	4B	M	0
1B	M	3A	M	0
1B	M	3A	M	0
1B	M	3A	F	0
1B	M	3A	M	0
1B	M	3B	M	0
1B	M	1A	F	0
1B	M	1A	M	0
1B	M	4B	M	0
1B	M	4B	M	0
1B	M	4B	F	0
1B	M	4A	F	0
1B	M	4A	M	1
1B	M	1A	F	1
1B	M	1A	F	0
1B	M	5A	M	0
1B	M	5A	M	3
1B	M	2A	F	1
1B	M	2A	F	0
1B	M	1A	M	1
1B	M	5A	M	1
1B	M	5A	M	7
1B	M	5A	F	17
1B	M	5A	M	45
1B	M	5A	F	0
1B	M	5A	M	0
1B	M	4A	F	0
1B	M	2A	F	0
1B	M	2A	F	0
1B	M	1A	M	4
1B	M	1A	F	0
1B	M	1A	M	1
1B	M	1A	F	0
1B	M	1A	M	0
1B	M	1A	F	0
1B	M	1A	F	0
1B	M	5A	M	1
1B	M	5A	F	1
1B	M	5A	F	2
1B	M	5A	M	0
1B	M	2A	F	0
1B	M	2A	F	0
1B	M	2A	M	5
1B	M	2A	M	7
1B	M	3A	M	0
1B	M	1A	M	0
1B	M	5A	F	1
1B	M	5A	F	1
1B	M	5A	M	1
1B	M	5A	M	4
1B	M	5A	F	0
1B	M	4B	F	0
1B	M	5A	F	0
1B	M	1A	F	0
1B	M	1A	M	0
1B	M	3A	M	0
1B	M	3A	F	0
1B	M	1A	F	0
1B	M	1A	Unknown	0
1B	M	3B	F	0
1B	M	3A	M	1
1B	M	2A	M	0
1B	M	2A	F	0
1B	M	5A	F	0
1B	M	4B	F	0
1B	M	2A	F	0
1B	M	5B	M	0
1B	M	5B	M	14
1B	M	3B	M	2
1B	M	Teachers	Unknown	10
1B	M	5B	M	29
1B	M	5B	M	0
1B	M	5B	F	0
1B	M	5B	M	5
1B	M	2A	M	4
1B	M	4B	M	0
1B	M	5B	M	0
1B	M	5B	M	3
1B	M	5B	M	0
1B	M	5B	F	0
1B	M	5B	M	1
1B	M	Teachers	Unknown	0
1B	M	4B	M	0
1B	M	4B	F	0
1B	M	4B	M	0
1B	M	5B	F	0
1B	M	5B	F	3
1B	M	5B	F	0
1B	M	5B	M	0
1B	M	1B	M	38
1B	M	1B	F	95
1B	M	5B	M	41
1B	M	5B	F	0
1B	M	Teachers	Unknown	1
1B	M	2A	F	0
1B	M	2A	F	0
1B	M	2A	M	0
1B	M	2A	M	0
1B	M	4B	M	0
1B	M	2A	M	0
1B	M	2A	F	0
1B	M	2A	F	0
1B	M	4B	F	1
1B	M	4B	F	0
1B	M	4B	M	0
1B	M	4B	M	0
1B	M	3A	M	2
1B	M	3A	M	0
1B	M	1B	F	6
1B	M	1B	F	19
1B	M	4B	M	0
1B	M	4A	M	1
1B	M	1B	F	12
1B	M	1B	F	9
1B	M	4A	M	1
1B	M	4A	M	0
1B	M	4A	F	0
1B	M	1B	F	6
1B	M	1B	F	4
1B	M	Teachers	Unknown	0
1B	M	2A	F	0
1B	F	3B	M	0
1B	F	3B	M	0
1B	F	3B	F	0
1B	F	3B	F	0
1B	F	3B	F	0
1B	F	4B	F	0
1B	F	4B	M	0
1B	F	4B	M	0
1B	F	1B	M	14
1B	F	1B	M	26
1B	F	4B	F	0
1B	F	4B	M	0
1B	F	3A	M	1
1B	F	3A	M	4
1B	F	3A	F	0
1B	F	3A	M	0
1B	F	3B	M	0
1B	F	1A	F	0
1B	F	1A	M	0
1B	F	4B	M	0
1B	F	4B	M	0
1B	F	4B	F	0
1B	F	4A	F	0
1B	F	4A	M	0
1B	F	1A	F	0
1B	F	1A	F	0
1B	F	5A	M	0
1B	F	5A	M	0
1B	F	2A	F	2
1B	F	2A	F	0
1B	F	1A	M	0
1B	F	5A	M	0
1B	F	5A	M	1
1B	F	5A	F	0
1B	F	5A	M	0
1B	F	5A	F	0
1B	F	5A	M	0
1B	F	4A	F	1
1B	F	2A	F	0
1B	F	2A	F	0
1B	F	1A	M	0
1B	F	1A	F	0
1B	F	1A	M	0
1B	F	1A	F	0
1B	F	1A	M	0
1B	F	1A	F	0
1B	F	1A	F	0
1B	F	5A	M	1
1B	F	5A	F	0
1B	F	5A	F	0
1B	F	5A	M	0
1B	F	2A	F	1
1B	F	2A	F	0
1B	F	2A	M	0
1B	F	2A	M	0
1B	F	3A	M	0
1B	F	1A	M	1
1B	F	5A	F	1
1B	F	5A	F	0
1B	F	5A	M	0
1B	F	5A	M	1
1B	F	5A	F	1
1B	F	4B	F	0
1B	F	5A	F	0
1B	F	1A	F	0
1B	F	1A	M	0
1B	F	3A	M	0
1B	F	3A	F	0
1B	F	1A	F	0
1B	F	1A	Unknown	0
1B	F	3B	F	0
1B	F	3A	M	0
1B	F	2A	M	0
1B	F	2A	F	1
1B	F	5A	F	0
1B	F	4B	F	0
1B	F	2A	F	0
1B	F	5B	M	0
1B	F	5B	M	0
1B	F	3B	M	0
1B	F	Teachers	Unknown	18
1B	F	5B	M	0
1B	F	5B	M	0
1B	F	5B	F	0
1B	F	5B	M	0
1B	F	2A	M	1
1B	F	4B	M	0
1B	F	5B	M	0
1B	F	5B	M	0
1B	F	5B	M	0
1B	F	5B	F	0
1B	F	5B	M	0
1B	F	Teachers	Unknown	0
1B	F	4B	M	0
1B	F	4B	F	0
1B	F	4B	M	0
1B	F	5B	F	0
1B	F	5B	F	0
1B	F	5B	F	0
1B	F	5B	M	0
1B	F	1B	M	17
1B	F	1B	F	30
1B	F	5B	M	0
1B	F	5B	F	0
1B	F	Teachers	Unknown	2
1B	F	2A	F	6
1B	F	2A	F	1
1B	F	2A	M	1
1B	F	2A	M	1
1B	F	4B	M	0
1B	F	2A	M	0
1B	F	2A	F	0
1B	F	2A	F	0
1B	F	4B	F	0
1B	F	4B	F	0
1B	F	4B	M	0
1B	F	4B	M	0
1B	F	3A	M	0
1B	F	3A	M	0
1B	F	1B	F	6
1B	F	1B	F	21
1B	F	4B	M	0
1B	F	4A	M	0
1B	F	1B	F	33
1B	F	1B	F	15
1B	F	4A	M	1
1B	F	4A	M	0
1B	F	4A	F	0
1B	F	1B	F	7
1B	F	1B	F	4
1B	F	Teachers	Unknown	0
1B	F	2A	F	0
1B	F	1B	M	47
1B	M	3B	M	0
1B	M	3B	M	0
1B	M	3B	F	0
1B	M	3B	F	0
1B	M	3B	F	1
1B	M	4B	F	0
1B	M	4B	M	0
1B	M	4B	M	0
1B	M	1B	M	13
1B	M	1B	M	38
1B	M	4B	F	0
1B	M	4B	M	0
1B	M	3A	M	0
1B	M	3A	M	0
1B	M	3A	F	0
1B	M	3A	M	0
1B	M	3B	M	0
1B	M	1A	F	0
1B	M	1A	M	0
1B	M	4B	M	0
1B	M	4B	M	0
1B	M	4B	F	0
1B	M	4A	F	2
1B	M	4A	M	0
1B	M	1A	F	0
1B	M	1A	F	0
1B	M	5A	M	0
1B	M	5A	M	0
1B	M	2A	F	0
1B	M	2A	F	0
1B	M	1A	M	0
1B	M	5A	M	0
1B	M	5A	M	0
1B	M	5A	F	0
1B	M	5A	M	0
1B	M	5A	F	0
1B	M	5A	M	0
1B	M	4A	F	0
1B	M	2A	F	0
1B	M	2A	F	0
1B	M	1A	M	0
1B	M	1A	F	0
1B	M	1A	M	0
1B	M	1A	F	0
1B	M	1A	M	0
1B	M	1A	F	0
1B	M	1A	F	0
1B	M	5A	M	0
1B	M	5A	F	0
1B	M	5A	F	0
1B	M	5A	M	2
1B	M	2A	F	0
1B	M	2A	F	0
1B	M	2A	M	0
1B	M	2A	M	0
1B	M	3A	M	0
1B	M	1A	M	0
1B	M	5A	F	0
1B	M	5A	F	3
1B	M	5A	M	0
1B	M	5A	M	0
1B	M	5A	F	0
1B	M	4B	F	0
1B	M	5A	F	0
1B	M	1A	F	0
1B	M	1A	M	1
1B	M	3A	M	0
1B	M	3A	F	0
1B	M	1A	F	0
1B	M	1A	Unknown	0
1B	M	3B	F	1
1B	M	3A	M	0
1B	M	2A	M	0
1B	M	2A	F	0
1B	M	5A	F	0
1B	M	4B	F	0
1B	M	2A	F	0
1B	M	5B	M	0
1B	M	5B	M	0
1B	M	3B	M	0
1B	M	Teachers	Unknown	33
1B	M	5B	M	0
1B	M	5B	M	0
1B	M	5B	F	0
1B	M	5B	M	1
1B	M	2A	M	0
1B	M	4B	M	0
1B	M	5B	M	0
1B	M	5B	M	0
1B	M	5B	M	0
1B	M	5B	F	0
1B	M	5B	M	0
1B	M	Teachers	Unknown	0
1B	M	4B	M	0
1B	M	4B	F	0
1B	M	4B	M	0
1B	M	5B	F	0
1B	M	5B	F	0
1B	M	5B	F	0
1B	M	5B	M	0
1B	M	1B	M	56
1B	M	1B	F	188
1B	M	5B	M	0
1B	M	5B	F	0
1B	M	Teachers	Unknown	0
1B	M	2A	F	0
1B	M	2A	F	0
1B	M	2A	M	0
1B	M	2A	M	0
1B	M	4B	M	0
1B	M	2A	M	0
1B	M	2A	F	0
1B	M	2A	F	0
1B	M	4B	F	0
1B	M	4B	F	0
1B	M	4B	M	0
1B	M	4B	M	0
1B	M	3A	M	0
1B	M	3A	M	1
1B	M	1B	F	26
1B	M	1B	F	18
1B	M	4B	M	0
1B	M	4A	M	0
1B	M	1B	F	25
1B	M	1B	F	7
1B	M	4A	M	0
1B	M	4A	M	0
1B	M	4A	F	0
1B	M	1B	F	61
1B	M	1B	F	27
1B	M	Teachers	Unknown	1
1B	M	2A	F	0
1B	M	1B	M	6
1B	M	1B	F	4
1B	M	3B	M	0
1B	M	3B	M	0
1B	M	3B	F	2
1B	M	3B	F	0
1B	M	3B	F	1
1B	M	4B	F	0
1B	M	4B	M	0
1B	M	4B	M	0
1B	M	1B	M	42
1B	M	1B	M	53
1B	M	4B	F	0
1B	M	4B	M	0
1B	M	3A	M	0
1B	M	3A	M	0
1B	M	3A	F	1
1B	M	3A	M	4
1B	M	3B	M	1
1B	M	1A	F	4
1B	M	1A	M	0
1B	M	4B	M	0
1B	M	4B	M	0
1B	M	4B	F	0
1B	M	4A	F	4
1B	M	4A	M	4
1B	M	1A	F	38
1B	M	1A	F	0
1B	M	5A	M	0
1B	M	5A	M	0
1B	M	2A	F	0
1B	M	2A	F	0
1B	M	1A	M	1
1B	M	5A	M	1
1B	M	5A	M	0
1B	M	5A	F	1
1B	M	5A	M	1
1B	M	5A	F	1
1B	M	5A	M	1
1B	M	4A	F	0
1B	M	2A	F	0
1B	M	2A	F	2
1B	M	1A	M	2
1B	M	1A	F	1
1B	M	1A	M	2
1B	M	1A	F	0
1B	M	1A	M	12
1B	M	1A	F	3
1B	M	1A	F	0
1B	M	5A	M	0
1B	M	5A	F	0
1B	M	5A	F	16
1B	M	5A	M	0
1B	M	2A	F	0
1B	M	2A	F	0
1B	M	2A	M	5
1B	M	2A	M	0
1B	M	3A	M	5
1B	M	1A	M	4
1B	M	5A	F	2
1B	M	5A	F	0
1B	M	5A	M	0
1B	M	5A	M	5
1B	M	5A	F	0
1B	M	4B	F	0
1B	M	5A	F	1
1B	M	1A	F	0
1B	M	1A	M	0
1B	M	3A	M	0
1B	M	3A	F	1
1B	M	1A	F	11
1B	M	1A	Unknown	15
1B	M	3B	F	0
1B	M	3A	M	0
1B	M	2A	M	2
1B	M	2A	F	0
1B	M	5A	F	1
1B	M	4B	F	5
1B	M	2A	F	0
1B	M	5B	M	1
1B	M	5B	M	0
1B	M	3B	M	0
1B	M	Teachers	Unknown	48
1B	M	5B	M	1
1B	M	5B	M	0
1B	M	5B	F	8
1B	M	5B	M	2
1B	M	2A	M	2
1B	M	4B	M	1
1B	M	5B	M	0
1B	M	5B	M	0
1B	M	5B	M	0
1B	M	5B	F	1
1B	M	5B	M	0
1B	M	Teachers	Unknown	0
1B	M	4B	M	0
1B	M	4B	F	8
1B	M	4B	M	0
1B	M	5B	F	0
1B	M	5B	F	2
1B	M	5B	F	0
1B	M	5B	M	0
1B	M	1B	M	50
1B	M	1B	F	85
1B	M	5B	M	1
1B	M	5B	F	0
1B	M	Teachers	Unknown	0
1B	M	2A	F	0
1B	M	2A	F	0
1B	M	2A	M	1
1B	M	2A	M	0
1B	M	4B	M	0
1B	M	2A	M	6
1B	M	2A	F	0
1B	M	2A	F	0
1B	M	4B	F	5
1B	M	4B	F	0
1B	M	4B	M	0
1B	M	4B	M	0
1B	M	3A	M	5
1B	M	3A	M	0
1B	M	1B	F	596
1B	M	1B	F	73
1B	M	4B	M	0
1B	M	4A	M	1
1B	M	1B	F	35
1B	M	1B	F	19
1B	M	4A	M	1
1B	M	4A	M	0
1B	M	4A	F	0
1B	M	1B	F	22
1B	M	1B	F	12
1B	M	Teachers	Unknown	0
1B	M	2A	F	2
1B	M	1B	M	7
1B	M	1B	F	50
1B	M	1B	M	8
1B	F	3B	M	0
1B	F	3B	M	0
1B	F	3B	F	4
1B	F	3B	F	1
1B	F	3B	F	0
1B	F	4B	F	0
1B	F	4B	M	0
1B	F	4B	M	0
1B	F	1B	M	72
1B	F	1B	M	17
1B	F	4B	F	0
1B	F	4B	M	0
1B	F	3A	M	0
1B	F	3A	M	0
1B	F	3A	F	0
1B	F	3A	M	0
1B	F	3B	M	0
1B	F	1A	F	0
1B	F	1A	M	0
1B	F	4B	M	0
1B	F	4B	M	0
1B	F	4B	F	0
1B	F	4A	F	0
1B	F	4A	M	0
1B	F	1A	F	2
1B	F	1A	F	0
1B	F	5A	M	0
1B	F	5A	M	0
1B	F	2A	F	0
1B	F	2A	F	0
1B	F	1A	M	3
1B	F	5A	M	0
1B	F	5A	M	0
1B	F	5A	F	0
1B	F	5A	M	0
1B	F	5A	F	0
1B	F	5A	M	0
1B	F	4A	F	0
1B	F	2A	F	0
1B	F	2A	F	2
1B	F	1A	M	0
1B	F	1A	F	0
1B	F	1A	M	1
1B	F	1A	F	1
1B	F	1A	M	4
1B	F	1A	F	6
1B	F	1A	F	0
1B	F	5A	M	2
1B	F	5A	F	0
1B	F	5A	F	3
1B	F	5A	M	0
1B	F	2A	F	0
1B	F	2A	F	1
1B	F	2A	M	0
1B	F	2A	M	3
1B	F	3A	M	29
1B	F	1A	M	46
1B	F	5A	F	1
1B	F	5A	F	0
1B	F	5A	M	0
1B	F	5A	M	0
1B	F	5A	F	0
1B	F	4B	F	2
1B	F	5A	F	0
1B	F	1A	F	50
1B	F	1A	M	1
1B	F	3A	M	0
1B	F	3A	F	0
1B	F	1A	F	0
1B	F	1A	Unknown	0
1B	F	3B	F	0
1B	F	3A	M	0
1B	F	2A	M	2
1B	F	2A	F	0
1B	F	5A	F	0
1B	F	4B	F	0
1B	F	2A	F	0
1B	F	5B	M	0
1B	F	5B	M	0
1B	F	3B	M	0
1B	F	Teachers	Unknown	43
1B	F	5B	M	0
1B	F	5B	M	1
1B	F	5B	F	0
1B	F	5B	M	0
1B	F	2A	M	0
1B	F	4B	M	0
1B	F	5B	M	0
1B	F	5B	M	0
1B	F	5B	M	0
1B	F	5B	F	0
1B	F	5B	M	0
1B	F	Teachers	Unknown	0
1B	F	4B	M	0
1B	F	4B	F	0
1B	F	4B	M	0
1B	F	5B	F	0
1B	F	5B	F	0
1B	F	5B	F	3
1B	F	5B	M	0
1B	F	1B	M	33
1B	F	1B	F	99
1B	F	5B	M	0
1B	F	5B	F	0
1B	F	Teachers	Unknown	0
1B	F	2A	F	0
1B	F	2A	F	0
1B	F	2A	M	1
1B	F	2A	M	0
1B	F	4B	M	0
1B	F	2A	M	10
1B	F	2A	F	0
1B	F	2A	F	0
1B	F	4B	F	0
1B	F	4B	F	0
1B	F	4B	M	0
1B	F	4B	M	0
1B	F	3A	M	0
1B	F	3A	M	0
1B	F	1B	F	57
1B	F	1B	F	21
1B	F	4B	M	0
1B	F	4A	M	2
1B	F	1B	F	58
1B	F	1B	F	50
1B	F	4A	M	0
1B	F	4A	M	0
1B	F	4A	F	0
1B	F	1B	F	3
1B	F	1B	F	25
1B	F	Teachers	Unknown	1
1B	F	2A	F	0
1B	F	1B	M	103
1B	F	1B	F	40
1B	F	1B	M	46
1B	F	1B	M	26
4A	M	3B	M	25
4A	M	3B	M	10
4A	M	3B	F	4
4A	M	3B	F	0
4A	M	3B	F	0
4A	M	4B	F	0
4A	M	4B	M	0
4A	M	4B	M	91
4A	M	1B	M	1
4A	M	1B	M	21
4A	M	4B	F	0
4A	M	4B	M	0
4A	M	3A	M	0
4A	M	3A	M	0
4A	M	3A	F	0
4A	M	3A	M	1
4A	M	3B	M	0
4A	M	1A	F	0
4A	M	1A	M	0
4A	M	4B	M	1
4A	M	4B	M	0
4A	M	4B	F	0
4A	M	4A	F	29
4A	M	4A	M	193
4A	M	1A	F	0
4A	M	1A	F	0
4A	M	5A	M	0
4A	M	5A	M	0
4A	M	2A	F	0
4A	M	2A	F	0
4A	M	1A	M	1
4A	M	5A	M	0
4A	M	5A	M	0
4A	M	5A	F	1
4A	M	5A	M	1
4A	M	5A	F	1
4A	M	5A	M	0
4A	M	4A	F	71
4A	M	2A	F	0
4A	M	2A	F	0
4A	M	1A	M	0
4A	M	1A	F	0
4A	M	1A	M	0
4A	M	1A	F	0
4A	M	1A	M	0
4A	M	1A	F	0
4A	M	1A	F	0
4A	M	5A	M	1
4A	M	5A	F	0
4A	M	5A	F	0
4A	M	5A	M	0
4A	M	2A	F	0
4A	M	2A	F	0
4A	M	2A	M	0
4A	M	2A	M	1
4A	M	3A	M	0
4A	M	1A	M	0
4A	M	5A	F	0
4A	M	5A	F	1
4A	M	5A	M	0
4A	M	5A	M	1
4A	M	5A	F	0
4A	M	4B	F	1
4A	M	5A	F	0
4A	M	1A	F	2
4A	M	1A	M	0
4A	M	3A	M	0
4A	M	3A	F	0
4A	M	1A	F	0
4A	M	1A	Unknown	0
4A	M	3B	F	0
4A	M	3A	M	0
4A	M	2A	M	1
4A	M	2A	F	0
4A	M	5A	F	0
4A	M	4B	F	1
4A	M	2A	F	0
4A	M	5B	M	65
4A	M	5B	M	0
4A	M	3B	M	0
4A	M	Teachers	Unknown	0
4A	M	5B	M	3
4A	M	5B	M	0
4A	M	5B	F	2
4A	M	5B	M	0
4A	M	2A	M	0
4A	M	4B	M	40
4A	M	5B	M	0
4A	M	5B	M	0
4A	M	5B	M	0
4A	M	5B	F	0
4A	M	5B	M	0
4A	M	Teachers	Unknown	0
4A	M	4B	M	0
4A	M	4B	F	1
4A	M	4B	M	0
4A	M	5B	F	0
4A	M	5B	F	4
4A	M	5B	F	0
4A	M	5B	M	0
4A	M	1B	M	1
4A	M	1B	F	0
4A	M	5B	M	3
4A	M	5B	F	0
4A	M	Teachers	Unknown	0
4A	M	2A	F	0
4A	M	2A	F	0
4A	M	2A	M	0
4A	M	2A	M	0
4A	M	4B	M	0
4A	M	2A	M	4
4A	M	2A	F	0
4A	M	2A	F	0
4A	M	4B	F	0
4A	M	4B	F	0
4A	M	4B	M	0
4A	M	4B	M	1
4A	M	3A	M	0
4A	M	3A	M	2
4A	M	1B	F	0
4A	M	1B	F	0
4A	M	4B	M	0
4A	M	4A	M	58
4A	M	1B	F	0
4A	M	1B	F	5
4A	M	4A	M	54
4A	M	4A	M	15
4A	M	4A	F	14
4A	M	1B	F	0
4A	M	1B	F	0
4A	M	Teachers	Unknown	14
4A	M	2A	F	0
4A	M	1B	M	0
4A	M	1B	F	0
4A	M	1B	M	0
4A	M	1B	M	0
4A	M	1B	F	0
4A	F	3B	M	0
4A	F	3B	M	0
4A	F	3B	F	0
4A	F	3B	F	0
4A	F	3B	F	0
4A	F	4B	F	0
4A	F	4B	M	0
4A	F	4B	M	0
4A	F	1B	M	0
4A	F	1B	M	0
4A	F	4B	F	0
4A	F	4B	M	0
4A	F	3A	M	0
4A	F	3A	M	0
4A	F	3A	F	0
4A	F	3A	M	0
4A	F	3B	M	0
4A	F	1A	F	0
4A	F	1A	M	0
4A	F	4B	M	0
4A	F	4B	M	0
4A	F	4B	F	0
4A	F	4A	F	196
4A	F	4A	M	5
4A	F	1A	F	0
4A	F	1A	F	0
4A	F	5A	M	0
4A	F	5A	M	0
4A	F	2A	F	0
4A	F	2A	F	0
4A	F	1A	M	0
4A	F	5A	M	0
4A	F	5A	M	0
4A	F	5A	F	0
4A	F	5A	M	0
4A	F	5A	F	0
4A	F	5A	M	0
4A	F	4A	F	51
4A	F	2A	F	0
4A	F	2A	F	0
4A	F	1A	M	0
4A	F	1A	F	0
4A	F	1A	M	0
4A	F	1A	F	0
4A	F	1A	M	0
4A	F	1A	F	0
4A	F	1A	F	0
4A	F	5A	M	0
4A	F	5A	F	0
4A	F	5A	F	0
4A	F	5A	M	0
4A	F	2A	F	0
4A	F	2A	F	0
4A	F	2A	M	0
4A	F	2A	M	0
4A	F	3A	M	0
4A	F	1A	M	0
4A	F	5A	F	0
4A	F	5A	F	0
4A	F	5A	M	0
4A	F	5A	M	0
4A	F	5A	F	0
4A	F	4B	F	0
4A	F	5A	F	0
4A	F	1A	F	0
4A	F	1A	M	0
4A	F	3A	M	0
4A	F	3A	F	0
4A	F	1A	F	0
4A	F	1A	Unknown	0
4A	F	3B	F	0
4A	F	3A	M	0
4A	F	2A	M	0
4A	F	2A	F	0
4A	F	5A	F	0
4A	F	4B	F	0
4A	F	2A	F	0
4A	F	5B	M	0
4A	F	5B	M	0
4A	F	3B	M	0
4A	F	Teachers	Unknown	0
4A	F	5B	M	0
4A	F	5B	M	0
4A	F	5B	F	1
4A	F	5B	M	0
4A	F	2A	M	0
4A	F	4B	M	0
4A	F	5B	M	0
4A	F	5B	M	0
4A	F	5B	M	0
4A	F	5B	F	0
4A	F	5B	M	0
4A	F	Teachers	Unknown	0
4A	F	4B	M	0
4A	F	4B	F	0
4A	F	4B	M	0
4A	F	5B	F	0
4A	F	5B	F	0
4A	F	5B	F	0
4A	F	5B	M	0
4A	F	1B	M	0
4A	F	1B	F	0
4A	F	5B	M	0
4A	F	5B	F	0
4A	F	Teachers	Unknown	0
4A	F	2A	F	0
4A	F	2A	F	0
4A	F	2A	M	0
4A	F	2A	M	0
4A	F	4B	M	0
4A	F	2A	M	0
4A	F	2A	F	0
4A	F	2A	F	0
4A	F	4B	F	0
4A	F	4B	F	0
4A	F	4B	M	0
4A	F	4B	M	0
4A	F	3A	M	0
4A	F	3A	M	0
4A	F	1B	F	0
4A	F	1B	F	0
4A	F	4B	M	0
4A	F	4A	M	7
4A	F	1B	F	0
4A	F	1B	F	0
4A	F	4A	M	3
4A	F	4A	M	3
4A	F	4A	F	42
4A	F	1B	F	0
4A	F	1B	F	0
4A	F	Teachers	Unknown	5
4A	F	2A	F	0
4A	F	1B	M	0
4A	F	1B	F	0
4A	F	1B	M	0
4A	F	1B	M	0
4A	F	1B	F	0
4A	F	4A	M	7
1B	F	3B	M	1
1B	F	3B	M	0
1B	F	3B	F	0
1B	F	3B	F	0
1B	F	3B	F	0
1B	F	4B	F	0
1B	F	4B	M	0
1B	F	4B	M	0
1B	F	1B	M	35
1B	F	1B	M	38
1B	F	4B	F	0
1B	F	4B	M	0
1B	F	3A	M	0
1B	F	3A	M	0
1B	F	3A	F	0
1B	F	3A	M	4
1B	F	3B	M	0
1B	F	1A	F	3
1B	F	1A	M	0
1B	F	4B	M	0
1B	F	4B	M	0
1B	F	4B	F	0
1B	F	4A	F	1
1B	F	4A	M	1
1B	F	1A	F	5
1B	F	1A	F	0
1B	F	5A	M	0
1B	F	5A	M	0
1B	F	2A	F	0
1B	F	2A	F	1
1B	F	1A	M	3
1B	F	5A	M	1
1B	F	5A	M	2
1B	F	5A	F	1
1B	F	5A	M	0
1B	F	5A	F	1
1B	F	5A	M	0
1B	F	4A	F	0
1B	F	2A	F	0
1B	F	2A	F	1
1B	F	1A	M	3
1B	F	1A	F	0
1B	F	1A	M	1
1B	F	1A	F	6
1B	F	1A	M	1
1B	F	1A	F	35
1B	F	1A	F	0
1B	F	5A	M	0
1B	F	5A	F	0
1B	F	5A	F	1
1B	F	5A	M	1
1B	F	2A	F	2
1B	F	2A	F	0
1B	F	2A	M	2
1B	F	2A	M	2
1B	F	3A	M	1
1B	F	1A	M	3
1B	F	5A	F	0
1B	F	5A	F	1
1B	F	5A	M	1
1B	F	5A	M	1
1B	F	5A	F	1
1B	F	4B	F	3
1B	F	5A	F	0
1B	F	1A	F	3
1B	F	1A	M	2
1B	F	3A	M	0
1B	F	3A	F	0
1B	F	1A	F	1
1B	F	1A	Unknown	4
1B	F	3B	F	2
1B	F	3A	M	0
1B	F	2A	M	2
1B	F	2A	F	0
1B	F	5A	F	0
1B	F	4B	F	1
1B	F	2A	F	0
1B	F	5B	M	0
1B	F	5B	M	0
1B	F	3B	M	0
1B	F	Teachers	Unknown	35
1B	F	5B	M	0
1B	F	5B	M	0
1B	F	5B	F	4
1B	F	5B	M	1
1B	F	2A	M	3
1B	F	4B	M	3
1B	F	5B	M	0
1B	F	5B	M	0
1B	F	5B	M	0
1B	F	5B	F	0
1B	F	5B	M	0
1B	F	Teachers	Unknown	0
1B	F	4B	M	0
1B	F	4B	F	0
1B	F	4B	M	0
1B	F	5B	F	0
1B	F	5B	F	0
1B	F	5B	F	0
1B	F	5B	M	0
1B	F	1B	M	30
1B	F	1B	F	36
1B	F	5B	M	0
1B	F	5B	F	0
1B	F	Teachers	Unknown	3
1B	F	2A	F	1
1B	F	2A	F	0
1B	F	2A	M	3
1B	F	2A	M	0
1B	F	4B	M	0
1B	F	2A	M	1
1B	F	2A	F	0
1B	F	2A	F	0
1B	F	4B	F	0
1B	F	4B	F	0
1B	F	4B	M	0
1B	F	4B	M	2
1B	F	3A	M	2
1B	F	3A	M	0
1B	F	1B	F	61
1B	F	1B	F	25
1B	F	4B	M	0
1B	F	4A	M	0
1B	F	1B	F	28
1B	F	1B	F	129
1B	F	4A	M	0
1B	F	4A	M	15
1B	F	4A	F	0
1B	F	1B	F	9
1B	F	1B	F	18
1B	F	Teachers	Unknown	0
1B	F	2A	F	1
1B	F	1B	M	271
1B	F	1B	F	52
1B	F	1B	M	52
1B	F	1B	M	22
1B	F	1B	F	45
1B	F	4A	M	1
1B	F	4A	F	0
1B	F	3B	M	0
1B	F	3B	M	0
1B	F	3B	F	0
1B	F	3B	F	0
1B	F	3B	F	0
1B	F	4B	F	0
1B	F	4B	M	0
1B	F	4B	M	0
1B	F	1B	M	21
1B	F	1B	M	21
1B	F	4B	F	0
1B	F	4B	M	0
1B	F	3A	M	0
1B	F	3A	M	0
1B	F	3A	F	0
1B	F	3A	M	0
1B	F	3B	M	0
1B	F	1A	F	0
1B	F	1A	M	0
1B	F	4B	M	0
1B	F	4B	M	0
1B	F	4B	F	0
1B	F	4A	F	0
1B	F	4A	M	0
1B	F	1A	F	0
1B	F	1A	F	0
1B	F	5A	M	0
1B	F	5A	M	0
1B	F	2A	F	0
1B	F	2A	F	0
1B	F	1A	M	0
1B	F	5A	M	0
1B	F	5A	M	1
1B	F	5A	F	1
1B	F	5A	M	1
1B	F	5A	F	0
1B	F	5A	M	0
1B	F	4A	F	0
1B	F	2A	F	0
1B	F	2A	F	0
1B	F	1A	M	0
1B	F	1A	F	0
1B	F	1A	M	0
1B	F	1A	F	0
1B	F	1A	M	0
1B	F	1A	F	0
1B	F	1A	F	0
1B	F	5A	M	0
1B	F	5A	F	0
1B	F	5A	F	1
1B	F	5A	M	1
1B	F	2A	F	1
1B	F	2A	F	1
1B	F	2A	M	0
1B	F	2A	M	1
1B	F	3A	M	0
1B	F	1A	M	0
1B	F	5A	F	0
1B	F	5A	F	0
1B	F	5A	M	1
1B	F	5A	M	0
1B	F	5A	F	1
1B	F	4B	F	0
1B	F	5A	F	0
1B	F	1A	F	1
